"['063000', 'QD', '1980', '11', '01', '   0.4200']"
"['063000', 'QD', '1980', '11', '08', '   0.7600']"
"['063000', 'QD', '1980', '11', '15', '   0.4000']"
"['063000', 'QD', '1980', '11', '22', '   1.0500']"
"['063000', 'QD', '1980', '11', '29', '   0.4400']"
"['063000', 'QD', '1980', '12', '06', '   0.5000']"
"['063000', 'QD', '1980', '12', '13', '   0.3400']"
"['063000', 'QD', '1980', '12', '20', '   1.1100']"
"['063000', 'QD', '1980', '12', '27', '   2.3900']"
"['063000', 'QD', '1981', '01', '03', '   1.5300']"
"['063000', 'QD', '1981', '01', '10', '   1.4100']"
